date,origin_port,destination_port,vessel_class,cargo_type,quantity_mt,route_distance_nm,bunker_price_usd_per_mt,bunker_cost_usd,hire_cost_usd,port_cost_usd,demurrage_usd,freight_cost_usd,freight_rate_usd_per_mt,bdi_value_synthetic,is_synthetic
2025-03-14,"Richards Bay, South Africa","Visakhapatnam, India",Handymax / Supramax,Coal,48475,4600,822.29,303536.62,204910.12,68495.0,11374.19,588315.93,12.14,2347,True
2025-03-15,"Richards Bay, South Africa","Visakhapatnam, India",Handymax / Supramax,Coal,40778,4600,837.77,309250.0,188247.9,54871.39,0.0,552369.29,13.55,1858,True
2025-03-15,"Richards Bay, South Africa","Visakhapatnam, India",Handymax / Supramax,Coal,48021,4600,749.02,276490.37,194926.42,60208.8,0.0,531625.59,11.07,2054,True
2025-03-16,"Port Hedland, Australia","Visakhapatnam, India",Handymax / Supramax,Iron Ore,55708,5300,762.67,324368.75,217090.62,60973.32,0.0,602432.69,10.81,1863,True
2025-03-19,"Gladstone, Australia","Paradip, India",Handysize,Coal,11657,6300,895.64,365721.08,258875.56,73228.63,91548.37,789373.64,67.72,2714,True
2025-03-19,"Port Hedland, Australia","Visakhapatnam, India",Handysize,Iron Ore,36628,5300,874.57,300430.01,195995.31,71691.61,0.0,568116.93,15.51,2159,True
2025-03-19,"Gladstone, Australia","Paradip, India",Capesize,Coal,142778,6300,708.89,577499.03,393098.28,72021.61,18972.84,1061591.75,7.44,1619,True
2025-03-21,"Richards Bay, South Africa","Visakhapatnam, India",Panamax,Coal,84663,4600,991.8,422434.28,211804.44,65876.55,0.0,700115.28,8.27,1412,True
2025-03-21,"Richards Bay, South Africa","Visakhapatnam, India",Panamax,Coal,75367,4600,781.51,332867.3,229840.99,74539.62,0.0,637247.91,8.46,1809,True
2025-03-21,"Port Hedland, Australia","Visakhapatnam, India",Panamax,Iron Ore,80939,5300,750.37,368235.28,215297.78,72898.22,0.0,656431.28,8.11,863,True
2025-03-22,"Gladstone, Australia","Paradip, India",Capesize,Coal,158733,6300,726.41,591770.37,493246.55,64282.57,7395.79,1156695.28,7.29,2541,True
2025-03-22,"Gladstone, Australia","Paradip, India",Panamax,Coal,66059,6300,860.69,502069.55,281866.67,55185.34,0.0,839121.56,12.7,1280,True
2025-03-23,"Port Hedland, Australia","Visakhapatnam, India",Panamax,Iron Ore,74956,5300,794.04,389670.04,258744.69,70339.97,33089.83,751844.53,10.03,1693,True
2025-03-23,"Port Hedland, Australia","Visakhapatnam, India",Handymax / Supramax,Iron Ore,53010,5300,730.9,310859.27,173826.91,75546.25,13739.85,573972.3,10.83,761,True
2025-03-24,"Richards Bay, South Africa","Visakhapatnam, India",Handysize,Coal,24156,4600,920.36,274403.68,197811.36,59758.46,8871.8,540845.3,22.39,2972,True
2025-03-24,"Richards Bay, South Africa","Visakhapatnam, India",Handysize,Coal,13063,4600,821.58,244953.6,166190.62,66712.13,0.0,477856.35,36.58,2044,True
2025-03-25,"Gladstone, Australia","Paradip, India",Handysize,Coal,20104,6300,935.46,381980.71,245528.89,65249.23,21044.39,713803.21,35.51,2428,True
2025-03-25,"Port Hedland, Australia","Visakhapatnam, India",Panamax,Iron Ore,73815,5300,930.09,456431.93,285598.02,68216.49,2776.45,813022.9,11.01,2206,True
2025-03-28,"Gladstone, Australia","Paradip, India",Capesize,Coal,143054,6300,943.96,768998.18,505737.93,56149.42,0.0,1330885.53,9.3,2656,True
2025-03-28,"Richards Bay, South Africa","Visakhapatnam, India",Handymax / Supramax,Coal,50262,4600,735.36,271447.15,184567.9,56689.82,0.0,512704.87,10.2,1750,True
2025-03-28,"Gladstone, Australia","Paradip, India",Panamax,Coal,66120,6300,945.53,551557.44,293191.11,69474.3,0.0,914222.85,13.83,1462,True
2025-03-31,"Gladstone, Australia","Paradip, India",Handysize,Coal,35415,6300,943.57,385289.73,195642.22,72646.16,30158.92,683737.03,19.31,1359,True
2025-04-01,"Gladstone, Australia","Paradip, India",Panamax,Coal,81186,6300,734.78,428619.61,336311.11,73892.94,20694.4,859518.06,10.59,2155,True
2025-04-02,"Port Hedland, Australia","Visakhapatnam, India",Capesize,Iron Ore,127707,5300,974.03,667546.31,380777.59,71041.73,68384.15,1187749.78,9.3,2167,True
2025-04-03,"Richards Bay, South Africa","Visakhapatnam, India",Capesize,Coal,160648,4600,874.1,519938.09,211600.0,64343.88,0.0,795881.97,4.95,668,True
2025-04-07,"Richards Bay, South Africa","Visakhapatnam, India",Handymax / Supramax,Coal,55493,4600,816.74,301486.83,185521.98,75532.95,12628.29,575170.04,10.36,1778,True
2025-04-07,"Port Hedland, Australia","Visakhapatnam, India",Capesize,Iron Ore,146438,5300,827.07,566830.6,403165.52,73868.25,4009.16,1047873.53,7.16,2412,True
2025-04-10,"Richards Bay, South Africa","Visakhapatnam, India",Handysize,Coal,20123,4600,936.58,279240.53,118214.32,67330.2,0.0,464785.05,23.1,636,True
2025-04-12,"Richards Bay, South Africa","Visakhapatnam, India",Panamax,Coal,69571,4600,741.28,315730.32,223753.09,75100.11,41261.04,655844.56,9.43,1675,True
2025-04-13,"Gladstone, Australia","Paradip, India",Handymax / Supramax,Coal,49812,6300,971.03,490908.2,203217.78,61460.62,0.0,755586.6,15.17,688,True
2025-04-13,"Port Hedland, Australia","Visakhapatnam, India",Panamax,Iron Ore,74908,5300,808.26,396648.23,261100.25,54325.41,24342.33,736416.22,9.83,1738,True
2025-04-14,"Gladstone, Australia","Paradip, India",Handymax / Supramax,Coal,54966,6300,996.6,503836.56,251004.44,60074.88,4306.31,819222.19,14.9,1712,True
2025-04-14,"Richards Bay, South Africa","Visakhapatnam, India",Handysize,Coal,31690,4600,801.03,238825.41,131843.95,67736.67,5948.52,444354.54,14.02,1036,True
2025-04-14,"Richards Bay, South Africa","Visakhapatnam, India",Handymax / Supramax,Coal,52626,4600,756.84,279376.05,215404.94,69108.16,54758.43,618647.57,11.76,2655,True
2025-04-15,"Port Hedland, Australia","Visakhapatnam, India",Panamax,Iron Ore,78525,5300,789.54,387460.81,219433.09,65079.98,0.0,671973.88,8.56,942,True
2025-04-16,"Gladstone, Australia","Paradip, India",Capesize,Coal,104696,6300,867.14,706419.52,271551.72,72995.9,76991.3,1127958.44,10.77,500,True
2025-04-18,"Port Hedland, Australia","Visakhapatnam, India",Panamax,Iron Ore,86977,5300,908.1,445642.7,258064.2,69239.42,0.0,772946.32,8.89,1680,True
2025-04-19,"Richards Bay, South Africa","Visakhapatnam, India",Handysize,Coal,35747,4600,785.83,234293.12,188304.69,74243.12,39338.63,536179.56,15.0,2693,True
2025-04-21,"Gladstone, Australia","Paradip, India",Panamax,Coal,67529,6300,928.78,541789.32,379617.78,59201.66,28781.61,1009390.37,14.95,2851,True
2025-04-24,"Gladstone, Australia","Paradip, India",Handymax / Supramax,Coal,49868,6300,736.55,372369.22,239991.11,63655.99,0.0,676016.32,13.56,1476,True
2025-04-24,"Richards Bay, South Africa","Visakhapatnam, India",Panamax,Coal,64753,4600,812.08,345884.75,243970.37,67478.38,16557.2,673890.7,10.41,2120,True
2025-04-25,"Port Hedland, Australia","Visakhapatnam, India",Panamax,Iron Ore,76049,5300,766.96,376380.1,218229.14,69564.09,0.0,664173.32,8.73,919,True
2025-04-26,"Port Hedland, Australia","Visakhapatnam, India",Capesize,Iron Ore,142534,5300,704.52,482839.35,331706.9,67448.03,17111.47,899105.74,6.31,1630,True
2025-04-27,"Gladstone, Australia","Paradip, India",Panamax,Coal,78535,6300,707.41,412656.84,365057.78,72908.51,0.0,850623.12,10.83,2617,True
2025-04-27,"Port Hedland, Australia","Visakhapatnam, India",Handymax / Supramax,Iron Ore,56352,5300,855.32,363776.51,253876.54,56708.5,0.0,674361.56,11.97,2800,True
2025-04-28,"Richards Bay, South Africa","Visakhapatnam, India",Handymax / Supramax,Coal,54092,4600,835.47,308400.59,173834.57,63517.71,45429.26,591182.12,10.93,1435,True
2025-04-30,"Richards Bay, South Africa","Visakhapatnam, India",Panamax,Coal,76393,4600,908.26,386850.44,240517.53,66952.88,62991.4,757312.25,9.91,2044,True
2025-05-01,"Gladstone, Australia","Paradip, India",Handysize,Coal,35715,6300,731.88,298850.64,193495.56,68007.04,67964.37,628317.6,17.59,1313,True
2025-05-01,"Richards Bay, South Africa","Visakhapatnam, India",Panamax,Coal,84087,4600,884.39,376683.62,211122.96,76019.29,28271.74,692097.62,8.23,1397,True
2025-05-01,"Richards Bay, South Africa","Visakhapatnam, India",Capesize,Coal,131797,4600,908.69,540512.62,264658.62,63122.54,0.0,868293.78,6.59,1337,True
2025-05-02,"Port Hedland, Australia","Visakhapatnam, India",Handysize,Iron Ore,22907,5300,811.96,278923.12,185356.05,66830.13,13096.04,544205.35,23.76,1888,True
2025-05-03,"Richards Bay, South Africa","Visakhapatnam, India",Capesize,Coal,169446,4600,789.51,469620.38,215803.45,74029.53,0.0,759453.36,4.48,721,True
2025-05-03,"Richards Bay, South Africa","Visakhapatnam, India",Handysize,Coal,15876,4600,766.96,228666.37,185544.69,76572.52,0.0,490783.58,30.91,2612,True
2025-05-03,"Gladstone, Australia","Paradip, India",Handysize,Coal,24041,6300,783.73,320024.58,206048.89,56991.53,0.0,583065.0,24.25,1582,True
2025-05-03,"Richards Bay, South Africa","Visakhapatnam, India",Handymax / Supramax,Coal,46276,4600,764.92,282357.66,209544.2,60359.49,48355.32,600616.67,12.98,2483,True
2025-05-03,"Port Hedland, Australia","Visakhapatnam, India",Handymax / Supramax,Iron Ore,49968,5300,947.92,403156.87,260589.88,54927.59,0.0,718674.33,14.38,2971,True
2025-05-10,"Port Hedland, Australia","Visakhapatnam, India",Capesize,Iron Ore,110271,5300,996.48,682935.14,391377.59,58644.14,29687.05,1162643.92,10.54,2283,True
2025-05-11,"Port Hedland, Australia","Visakhapatnam, India",Panamax,Iron Ore,83897,5300,969.69,475868.57,204828.64,74675.27,0.0,755372.48,9.0,663,True
2025-05-13,"Richards Bay, South Africa","Visakhapatnam, India",Capesize,Coal,156283,4600,821.02,488364.18,353327.59,62816.28,0.0,904508.05,5.79,2455,True
2025-05-16,"Port Hedland, Australia","Visakhapatnam, India",Handysize,Iron Ore,16630,5300,856.81,294331.27,211934.57,69740.46,0.0,576006.3,34.64,2565,True
2025-05-16,"Port Hedland, Australia","Visakhapatnam, India",Handymax / Supramax,Iron Ore,54122,5300,834.65,354985.18,252777.28,65786.14,3276.6,676825.2,12.51,2772,True
2025-05-17,"Gladstone, Australia","Paradip, India",Panamax,Coal,89004,6300,883.8,515547.49,361946.67,63815.04,0.0,941309.19,10.58,2567,True
2025-05-19,"Gladstone, Australia","Paradip, India",Handysize,Coal,22966,6300,799.67,326529.94,228168.89,72493.76,16511.76,643704.35,28.03,2056,True
2025-05-20,"Port Hedland, Australia","Visakhapatnam, India",Panamax,Iron Ore,87193,5300,801.96,393555.71,305122.96,60144.97,203.82,759027.46,8.71,2579,True
2025-05-20,"Gladstone, Australia","Paradip, India",Panamax,Coal,73163,6300,843.7,492160.04,278568.89,76185.22,45393.12,892307.26,12.2,1227,True
2025-05-22,"Richards Bay, South Africa","Visakhapatnam, India",Capesize,Coal,155448,4600,755.73,449526.74,372837.93,69948.96,64521.15,956834.77,6.16,2701,True
2025-05-24,"Port Hedland, Australia","Visakhapatnam, India",Panamax,Iron Ore,65521,5300,774.45,380054.22,325119.01,67800.18,50687.07,823660.48,12.57,2961,True
2025-05-24,"Gladstone, Australia","Paradip, India",Panamax,Coal,70649,6300,817.89,477100.39,309555.56,67655.67,0.0,854311.61,12.09,1725,True
2025-05-27,"Port Hedland, Australia","Visakhapatnam, India",Handysize,Iron Ore,29998,5300,895.01,307451.16,201609.38,62077.32,17283.09,588420.95,19.62,2302,True
2025-05-28,"Gladstone, Australia","Paradip, India",Handysize,Coal,28428,6300,823.8,336386.33,235168.89,66817.6,0.0,638372.81,22.46,2206,True
2025-05-29,"Gladstone, Australia","Paradip, India",Capesize,Coal,111552,6300,719.22,585919.66,370179.31,62529.21,48318.59,1066946.77,9.56,1408,True
2025-05-30,"Port Hedland, Australia","Visakhapatnam, India",Panamax,Iron Ore,85717,5300,721.42,354027.93,297061.73,58176.89,0.0,709266.55,8.27,2425,True
2025-06-01,"Port Hedland, Australia","Visakhapatnam, India",Handysize,Iron Ore,14798,5300,776.79,266841.91,158738.27,67855.18,0.0,493435.36,33.34,1210,True
2025-06-02,"Port Hedland, Australia","Visakhapatnam, India",Handymax / Supramax,Iron Ore,49670,5300,849.67,361370.92,252109.88,65017.71,0.0,678498.51,13.66,2755,True
2025-06-03,"Gladstone, Australia","Paradip, India",Handysize,Coal,29095,6300,899.08,367125.82,222382.22,61135.33,0.0,650643.37,22.36,1932,True
2025-06-03,"Port Hedland, Australia","Visakhapatnam, India",Panamax,Iron Ore,94101,5300,832.55,408567.27,240319.01,70489.11,0.0,719375.39,7.64,1341,True
2025-06-06,"Gladstone, Australia","Paradip, India",Handymax / Supramax,Coal,48850,6300,884.77,447302.26,297297.78,71816.75,40411.52,856828.31,17.54,2704,True
2025-06-06,"Richards Bay, South Africa","Visakhapatnam, India",Handymax / Supramax,Coal,42104,4600,824.46,304337.84,188145.68,66480.06,0.0,558963.58,13.28,1855,True
2025-06-07,"Richards Bay, South Africa","Visakhapatnam, India",Capesize,Coal,141507,4600,808.21,480745.64,227937.93,54119.49,0.0,762803.07,5.39,874,True
2025-06-08,"Port Hedland, Australia","Visakhapatnam, India",Handymax / Supramax,Iron Ore,50571,5300,879.06,373873.56,211986.91,65282.67,29696.98,680840.12,13.46,1733,True
2025-06-09,"Port Hedland, Australia","Visakhapatnam, India",Handysize,Iron Ore,12571,5300,902.74,310109.16,210050.12,68118.02,0.0,588277.3,46.8,2517,True
2025-06-11,"Gladstone, Australia","Paradip, India",Capesize,Coal,100088,6300,997.55,812660.47,461855.17,58653.32,24027.37,1357196.33,13.56,2252,True
2025-06-12,"Gladstone, Australia","Paradip, India",Handysize,Coal,31449,6300,808.13,329986.67,171282.22,62552.41,0.0,563821.3,17.93,837,True
2025-06-13,"Gladstone, Australia","Paradip, India",Capesize,Coal,165373,6300,963.72,785101.68,492812.07,54533.05,59463.02,1391909.83,8.42,2537,True
2025-06-13,"Richards Bay, South Africa","Visakhapatnam, India",Capesize,Coal,108326,4600,815.43,485040.37,391793.1,76910.79,51763.72,1005507.99,9.28,2940,True
2025-06-14,"Gladstone, Australia","Paradip, India",Panamax,Coal,69596,6300,951.81,555225.15,308497.78,58692.02,0.0,922414.95,13.25,1708,True
2025-06-14,"Gladstone, Australia","Paradip, India",Capesize,Coal,167286,6300,744.2,606270.12,466091.38,56109.41,78533.55,1207004.47,7.22,2291,True
2025-06-16,"Richards Bay, South Africa","Visakhapatnam, India",Handymax / Supramax,Coal,47253,4600,894.21,330086.39,170801.98,60188.92,10853.55,571930.84,12.1,1346,True
2025-06-19,"Gladstone, Australia","Paradip, India",Handymax / Supramax,Coal,40883,6300,972.08,491439.77,307564.44,66981.02,0.0,865985.23,21.18,2924,True
2025-06-19,"Richards Bay, South Africa","Visakhapatnam, India",Capesize,Coal,105726,4600,823.26,489696.32,275365.52,76300.54,49720.38,891082.76,8.43,1472,True
2025-06-20,"Gladstone, Australia","Paradip, India",Capesize,Coal,163092,6300,764.12,622497.72,449906.9,74756.19,0.0,1147160.81,7.03,2142,True
2025-06-22,"Richards Bay, South Africa","Visakhapatnam, India",Handymax / Supramax,Coal,45609,4600,897.62,331343.63,226410.86,61765.25,25952.79,645472.53,14.15,2978,True
2025-06-24,"Gladstone, Australia","Paradip, India",Panamax,Coal,88686,6300,986.53,575473.94,301653.33,74204.94,0.0,951332.21,10.73,1598,True
2025-06-24,"Gladstone, Australia","Paradip, India",Handymax / Supramax,Coal,42457,6300,864.11,436857.57,212224.44,61772.86,90637.48,801492.36,18.88,881,True
2025-06-28,"Gladstone, Australia","Paradip, India",Handysize,Coal,32880,6300,855.46,349313.46,215848.89,69851.84,482.33,635496.53,19.33,1792,True
2025-06-28,"Richards Bay, South Africa","Visakhapatnam, India",Panamax,Coal,86612,4600,864.38,368162.35,170415.8,60989.12,17641.03,617208.31,7.13,501,True
2025-06-28,"Gladstone, Australia","Paradip, India",Handymax / Supramax,Coal,43976,6300,995.54,503300.66,220951.11,59444.93,25722.36,809419.06,18.41,1068,True
2025-06-29,"Gladstone, Australia","Paradip, India",Panamax,Coal,79301,6300,738.2,430619.3,233768.89,75822.13,51580.82,791791.13,9.98,507,True
2025-06-29,"Port Hedland, Australia","Visakhapatnam, India",Handysize,Iron Ore,33196,5300,741.16,254603.4,132670.12,57768.15,61207.85,506249.52,15.25,546,True
2025-06-29,"Gladstone, Australia","Paradip, India",Handysize,Coal,12957,6300,716.85,292713.91,270542.22,59032.61,13188.2,635476.94,49.05,2964,True
2025-07-02,"Richards Bay, South Africa","Visakhapatnam, India",Panamax,Coal,67563,4600,928.23,395358.29,275000.49,65048.51,0.0,735407.29,10.88,2803,True
2025-07-04,"Richards Bay, South Africa","Visakhapatnam, India",Handysize,Coal,33829,4600,838.49,249993.25,142815.8,64084.46,22421.62,479315.13,14.17,1358,True
2025-07-04,"Richards Bay, South Africa","Visakhapatnam, India",Capesize,Coal,166151,4600,801.25,476607.9,249589.66,66279.71,57000.39,849477.66,5.11,1147,True
2025-07-04,"Richards Bay, South Africa","Visakhapatnam, India",Panamax,Coal,81050,4600,730.78,311257.88,231385.68,69201.14,0.0,611844.7,7.55,1843,True
2025-07-09,"Gladstone, Australia","Paradip, India",Capesize,Coal,148418,6300,755.97,615858.85,291320.69,60055.81,0.0,967235.35,6.52,682,True
2025-07-10,"Port Hedland, Australia","Visakhapatnam, India",Panamax,Iron Ore,77641,5300,737.51,361927.07,290256.79,70723.46,0.0,722907.32,9.31,2295,True
2025-07-10,"Port Hedland, Australia","Visakhapatnam, India",Panamax,Iron Ore,79334,5300,870.33,427108.53,237701.73,58036.38,79003.66,801850.31,10.11,1291,True
2025-07-11,"Port Hedland, Australia","Visakhapatnam, India",Panamax,Iron Ore,67754,5300,898.33,440848.55,285179.26,72656.97,0.0,798684.78,11.79,2198,True
2025-07-14,"Gladstone, Australia","Paradip, India",Handymax / Supramax,Coal,47695,6300,920.63,465428.96,245171.11,58755.91,8866.41,778222.39,16.32,1587,True
2025-07-14,"Gladstone, Australia","Paradip, India",Handysize,Coal,33225,6300,830.82,339250.38,254908.89,75288.23,42514.69,711962.19,21.43,2629,True
2025-07-17,"Port Hedland, Australia","Visakhapatnam, India",Handysize,Iron Ore,18175,5300,709.92,243871.12,138990.86,75114.71,32094.89,490071.58,26.96,707,True
2025-07-19,"Gladstone, Australia","Paradip, India",Capesize,Coal,153626,6300,905.41,737596.13,456424.14,70333.27,16663.97,1281017.51,8.34,2202,True
2025-07-19,"Gladstone, Australia","Paradip, India",Capesize,Coal,100609,6300,778.33,634072.39,452622.41,65643.48,0.0,1152338.28,11.45,2167,True
2025-07-19,"Gladstone, Australia","Paradip, India",Panamax,Coal,64818,6300,815.9,475944.38,348071.11,71581.29,27743.2,923339.98,14.25,2344,True
2025-07-21,"Gladstone, Australia","Paradip, India",Capesize,Coal,109171,6300,984.66,802160.27,418406.9,68332.57,22785.3,1311685.05,12.01,1852,True
